Date,Open,High,Low,Close
2023-01-02,100.0,101.13306616389862,99.35231146189932,100.99342830602247
2023-01-03,100.99342830602247,104.3134312662782,100.75696536626809,104.06974843824396
2023-01-04,104.06974843824396,108.1806067547245,103.58116762581946,107.35671404705006
2023-01-05,107.35671404705006,109.0245719044435,106.85672188727762,108.52166331610232
2023-01-06,108.52166331610232,111.13319766413615,106.64975379342312,109.04682627950409
2023-01-09,109.04682627950409,110.15128647179993,107.48168978341697,107.82051286909865
2023-01-10,107.82051286909865,109.34326596314763,104.31086888365488,105.86244043869492
2023-01-11,105.86244043869492,105.93392744416198,103.88295328227333,105.38441583544042
2023-01-12,105.38441583544042,105.5013109586357,103.03726524421523,104.23702672714059
2023-01-13,104.23702672714059,105.65105192623247,103.93297383520718,105.02025961473322
2023-01-16,105.02025961473322,106.96552697289158,103.74242768337196,103.75643192216856
2023-01-17,103.75643192216856,104.60987517392417,100.32163800102286,101.56154568229762
2023-01-18,101.56154568229762,103.98438104553476,100.21261940149974,101.98579587320651
2023-01-19,101.98579587320651,103.1434331344693,101.8110245677607,102.38733686954043
2023-01-20,102.38733686954043,102.69562892467007,100.64020059764425,102.15051847659505
2023-01-23,102.15051847659505,102.6210633694347,99.61556001875795,100.67986929439718
2023-01-24,100.67986929439718,103.15900333960494,100.35358197760641,101.37177818401551
2023-01-25,101.37177818401551,102.05798605264447,99.97575708032262,100.59104867375636
2023-01-26,100.59104867375636,103.62133606082907,99.74687096649279,102.66523513675655
2023-01-27,102.66523513675655,103.00532751752911,101.03497601915193,102.03032791127735
2023-01-30,102.03032791127735,102.21975637396417,99.93454242799888,101.05252181899752
2023-01-31,101.05252181899752,101.8735996529574,97.29720152507508,98.63492789939869
2023-02-01,98.63492789939869,99.62476184968125,98.13668792322278,98.49287363639662
2023-02-02,98.49287363639662,98.84882255345751,95.72676853102644,97.22207966698332
2023-02-03,97.22207966698332,98.74325876854321,94.60727231166155,97.15241802641332
2023-02-06,97.15241802641332,98.83537281013905,96.86192515535902,98.74941434005368
2023-02-07,98.74941434005368,100.89695546243345,98.5324896373444,98.93064079889906
2023-02-08,98.93064079889906,101.10976097317271,98.41791275089109,99.63722830963904
2023-02-09,99.63722830963904,100.13716512071505,97.12877401560041,98.02610707567202
2023-02-10,98.02610707567202,99.1933486405486,97.52297099210377,98.67063090520695
