Date,Solar,Wind,Hydro,Biomass
2010-01-31,11.490142459033699,30.0,57.46309804457903,21.65083269797606
2010-02-28,10.10133612874451,32.001468134942485,53.110100287865166,21.820567659098053
2010-03-31,12.975323678818206,33.96058484409361,47.656343052312806,22.998054388502204
2010-04-30,16.117476665998268,35.836109749163356,56.23865200197264,20.62265284455584
2010-05-31,11.36205600486225,37.588995419639,50.88086026265049,22.138099490977023
2010-06-30,11.87823429044278,39.183411743258944,59.06367624166958,20.34720842229696
2010-07-31,17.83441264007056,40.58768589334453,61.64661145590368,21.809623027557528
2010-08-31,15.915207413265179,41.775133233882556,54.78032581247911,21.094552600942052
2010-09-30,12.72060910025966,42.72475736439062,62.9144170012745,21.74237902675963
2010-10-31,16.272841421080475,43.421800939585104,61.65036982816864,22.932249534744795
2010-11-30,13.771037244143258,43.858132813646016,64.16013244841476,20.2990425045008
2010-12-31,14.280230094127939,44.03246135273429,69.26028881631434,26.313806809435437
2011-01-31,16.91943520179488,43.95036831971993,61.41610540826338,20.310545882161883
2011-02-28,10.969836685381447,43.62416244218888,60.02581039083711,20.0877518066826
2011-03-31,12.051052954073805,43.072556505226295,60.04012600328949,25.025899166354975
2011-04-30,16.05507289614805,42.32017644012545,60.80304084234445,24.486551194377483
2011-05-31,15.21957115512576,41.39691528759165,64.13356791860694,24.3450138276527
2011-06-30,19.716935546172916,40.33714898357323,66.08740190842468,24.54701359917372
2011-07-31,16.56625035408153,39.178834540797844,66.01365815508483,23.459377422048107
2011-08-31,15.56954050889735,37.96251428432398,68.3018011856963,21.882910611867047
2011-09-30,24.71952695192595,36.73025226399665,65.03275517507743,24.022576858322935
2011-10-31,20.161380775959746,35.524530745967986,70.68415045791147,22.710192706008034
2011-11-30,21.55742332374119,34.387135732729305,63.602967921956065,26.208303982964534
2011-12-31,17.59672318329511,33.35806074892726,75.2375367549717,24.15749814022153
2012-01-31,20.753948600618,32.47445765105212,66.46047993515604,22.994166896737557
2012-02-29,23.23599357558121,31.76966198546173,60.03843786789599,24.19593799411337
2012-03-31,19.966374106442768,31.272318463503147,58.604286574264684,25.858120973067376
2012-04-30,25.06257792600476,31.00562949602194,64.15387063243804,24.098357346004953
2012-05-31,22.649696833469392,30.986746501207968,60.58595135847152,23.774914047576814
2012-06-30,24.09266068610404,31.22631995421087,63.51621185204067,26.100277648790275
2012-07-31,23.678751131053744,31.728219982525335,61.66353773912751,26.29638475512067
2012-08-31,31.556834553526812,32.489434837048464,58.52546313375961,24.98611364925774
2012-09-30,26.475637358044263,33.50014990231969,54.4178754784687,25.25147177586013
2012-10-31,23.859125277648427,34.7440051731885,50.68265937869456,26.85119664890882
2012-11-30,30.01602183308376,36.198524443265654,53.84869592515628,23.68447647829567
2012-12-31,24.40198517911919,37.835704945826265,57.916042021894256,23.959265999633985
2013-01-31,29.207235946304586,39.6227519785223,54.17301388449177,25.530853492979
2013-02-28,23.21776382190906,41.522939239756674,47.13808789349449,26.73439601915695
2013-03-31,25.62834507911116,43.496572306650286,51.604237065374576,27.97665384087343
2013-04-30,30.719615965671885,45.502029978716514,51.237265238847435,30.499099530673295
2013-05-31,32.86056103030881,47.49685616862853,44.94704542538399,29.457254730275007
2013-06-30,31.675395166150555,49.438873695411836,47.89382410500202,27.61560681104089
2013-07-31,31.330474507673987,51.2872907608062,46.32608260563921,28.090999842259137
2013-08-31,31.2902373003289,53.00377108149113,40.36135517999631,26.31752191588567
2013-09-30,28.274111448252558,54.553439603320875,45.23765949209999,28.479102760273285
2013-10-31,31.066273826428777,55.90579741365718,44.963608667506726,28.132360141514564
2013-11-30,32.360019170991606,57.03552184998547,46.01445738641458,29.54866292712779
2013-12-31,37.42943119478578,57.923130814761016,44.913884170043744,27.44231230644374
2014-01-31,35.80504841709248,58.55549386884667,34.26552513378208,30.329015609127506
2014-02-28,30.00120211455696,58.926176695514215,35.169592180218785,32.54934879374709
2014-03-31,36.77870352108761,59.03560989833947,40.19850501476917,29.459899057924996
2014-04-30,35.16733380391234,58.89107770474596,39.48890188342227,30.674391186133366
2014-05-31,34.80794367650147,58.506526871548886,38.87189424693052,31.44480411245448
2014-06-30,39.18986757620003,57.90220080567189,51.68721263130641,29.45562357235736
2014-07-31,40.96396630942334,57.10410849851554,38.114586931966855,30.89979786684664
2014-08-31,41.180937131542144,56.14334220595597,40.02110577772933,30.67034609188617
2014-09-30,36.3855732367837,55.05526177395952,39.038062289655734,31.034061874517015
2014-10-31,38.491717711156035,53.87856700821899,37.66791286517768,29.486238496805196
2014-11-30,40.929274165178434,52.6542824232711,33.73969327533556,31.27482680013079
2014-12-31,43.378248284592885,51.42468100519107,38.07360382063855,32.415351421200576
2015-01-31,39.530219221948,50.232175221879324,32.08167427692804,34.515190441396534
2015-02-28,40.926894037750486,49.11820437418112,34.45835193154359,33.724993265073635
2015-03-31,38.68099507798192,48.12214747707527,33.79269806425628,36.30636491502311
2015-04-30,38.92750916001605,47.28029019041203,36.48389120192191,30.658853261320676
