company,market_growth,profit_margin,revenue,quadrant
TechCorp,4.9816047538945,19.973279224012654,255.23149289766616,Cash Cows
DataSys,28.028572256396643,1.3701733203482842,403.3291826268561,Question Marks
CloudNet,19.279757672456203,0.4547490162130181,139.85320197126188,Question Marks
AIWorks,13.946339367881464,0.502135295603015,281.4054972861252,Question Marks
RoboTech,-3.7592543823025393,4.127267288786133,316.5865559879191,Dogs
SmartSol,-3.760219186551894,10.742692948967136,70.90268572399897,Cash Cows
InfoTech,-7.676655513272022,7.958350559263472,323.39518335564725,Dogs
WebPro,24.647045830997406,3.736874205941257,126.73585565928119,Question Marks
DevCorp,14.044600469728351,13.355586841671386,79.27321684337578,Stars
NetSys,18.322903111841818,-0.8151841804387452,476.99849176399994,Question Marks
AppWorks,-9.176620228167902,3.764339456056545,484.53441488355173,Dogs
SoftTech,28.796394086479772,5.99085529881075,413.7788066524075,Question Marks
