Subject,Score
Math,80.9605698361348
Math,73.34082838594578
Math,82.77226245720831
Math,93.2763582768963
Math,72.19015950331996
Math,72.19035651660984
Math,93.9505537860887
Math,84.20921674983491
Math,69.36630736878057
Math,81.51072052303158
Math,69.43898768625046
Math,69.41124295715692
Math,77.90354725879241
Math,52.04063706410643
Math,54.300986009843605
Math,68.25254964910833
Math,62.84602655598692
Math,78.77096799114328
Math,64.10371109374546
Math,58.0523555839765
Math,92.58778522705865
Math,72.29068439416157
Math,75.81033845625508
Math,57.90302176543852
Math,68.4674073056978
Math,76.3310710765184
Math,61.188077070932366
Math,79.50837622014807
Math,67.79233572097434
Math,71.49967500248067
Math,67.77952065324723
Math,97.22733821410725
Math,74.8380333031448
Math,62.3074688525292
Math,84.87053894523827
Math,60.34987620034774
Math,77.50636314005706
Math,51.483958513442694
Math,59.06176741321883
Math,77.36233483042949
Math,83.86159895994493
Math,77.05641937427964
Math,73.61222061134112
Math,71.38675565292853
Math,57.25773611559087
Math,66.36186949926349
Math,69.47233474848255
Math,87.68546671462698
Math,79.12341947482153
Math,53.843518135647194
Math,78.88900763273755
Math,70.3790126350042
Math,66.8769359963285
Math,82.34011546609041
Math,87.37199426995141
Math,86.17536142939439
Math,64.92938972132833
Math,71.28945148978542
Math,78.97516117684276
Math,86.70654152546831
Math,69.24990914585652
Math,72.7720922800342
Math,61.72398031192766
Math,60.64552051103195
Math,84.75030986873037
Math,91.27488034284987
Math,74.13587854103599
Math,87.04239477470429
Math,79.33963230057161
Math,67.25856294473851
Math,79.33674726610097
Math,93.45643879759163
Math,74.57008753068058
Math,93.77572386976807
Math,43.56305875092307
Math,84.86283005250269
Math,76.04456481885805
Math,71.41191179440959
Math,76.10112931842603
Math,51.149173024789285
Math,72.36393734594985
Math,79.28535085814096
Math,92.73472853689819
Math,68.78075738071624
Math,65.29807676528175
Math,68.97891547698556
Math,85.9848254124249
Math,78.94501331591621
Math,68.64287755479553
Math,81.15920919736027
Math,76.16493059217649
Math,86.62373988639467
Math,66.57536287347178
Math,71.06805424082678
Math,70.29470216241411
Math,57.43782062241458
Math,78.55344332477492
Math,78.13266326615867
Math,75.06136147970953
Math,72.18495439949822
Science,57.84629257949586
Science,67.7935467723464
Science,68.57285483473231
Science,63.977227307783814
Science,70.3871428833399
Science,76.04050856814538
Science,90.8618590121053
Science,73.74577812831839
Science,74.57550390722764
Science,71.25554084233833
Science,52.812287847009586
Science,71.73486124550783
Science,72.60230209941027
Science,96.63242112485287
Science,70.07639035218878
Science,75.01547342333612
Science,71.65288230294756
Science,60.31321962380468
Science,83.4282281451502
Science,79.51933032686775
Science,79.91031947043047
Science,62.90612545205261
Science,86.02794310936099
Science,57.98148937207719
Science,77.8685709380027
Science,93.90455625809979
Science,62.09463674869312
Science,66.33702270397228
Science,72.99651365087641
Science,66.965243458838
